trace_id,algorithm,size,backend,reference_shots,floor_mean_tvd_20k_vs_20k,floor_ci2p5_tvd_20k_vs_20k,floor_ci50_tvd_20k_vs_20k,floor_ci97p5_tvd_20k_vs_20k
dj_4_fake_kyiv,dj,4,fake_kyiv,20000,0.002726099999999999,0.001050000000000012,0.0025500000000000123,0.005550000000000047
dj_4_fake_marrakesh,dj,4,fake_marrakesh,20000,0.0020913999999999985,0.0006499999999999947,0.0019500000000000034,0.0042049999999999995
dj_4_fake_sherbrooke,dj,4,fake_sherbrooke,20000,0.002587700000000001,0.000923750000000007,0.002549999999999973,0.004826250000000031
dj_4_fake_torino,dj,4,fake_torino,20000,0.0026727000000000005,0.0009499999999999777,0.002524999999999982,0.005099999999999998
dj_5_fake_fez,dj,5,fake_fez,20000,0.0037677000000000006,0.002049999999999981,0.003600000000000008,0.006126250000000007
dj_5_fake_kyiv,dj,5,fake_kyiv,20000,0.004467099999999999,0.0023999999999999968,0.004349999999999974,0.007700000000000006
dj_5_fake_marrakesh,dj,5,fake_marrakesh,20000,0.0030758999999999995,0.0014999999999999957,0.003049999999999972,0.005276249999999988
dj_5_fake_sherbrooke,dj,5,fake_sherbrooke,20000,0.0044752,0.002349999999999996,0.004300000000000031,0.007376249999999966
dj_5_fake_torino,dj,5,fake_torino,20000,0.004649400000000001,0.0024999999999999576,0.004499999999999968,0.007726250000000008
dj_6_fake_fez,dj,6,fake_fez,20000,0.0054323999999999996,0.0030737500000000144,0.005249999999999976,0.008552499999999968
dj_6_fake_kyiv,dj,6,fake_kyiv,20000,0.007277999999999997,0.004599999999999982,0.007050000000000007,0.010702499999999998
dj_6_fake_marrakesh,dj,6,fake_marrakesh,20000,0.0044803,0.002599999999999985,0.004299999999999994,0.00728124999999998
dj_6_fake_sherbrooke,dj,6,fake_sherbrooke,20000,0.0072618,0.0045000000000000205,0.007100000000000021,0.010976250000000017
dj_6_fake_torino,dj,6,fake_torino,20000,0.0070309000000000005,0.004199999999999988,0.0068000000000000265,0.010650000000000034
dj_7_fake_fez,dj,7,fake_fez,20000,0.0068959,0.004400000000000006,0.006799999999999994,0.010026250000000009
dj_7_fake_kyiv,dj,7,fake_kyiv,20000,0.009902399999999997,0.006823749999999982,0.00995,0.013049999999999989
dj_7_fake_marrakesh,dj,7,fake_marrakesh,20000,0.0059747,0.0038475,0.005849999999999992,0.008828749999999993
dj_7_fake_sherbrooke,dj,7,fake_sherbrooke,20000,0.009637600000000001,0.006349999999999997,0.009500000000000043,0.01392874999999999
dj_7_fake_torino,dj,7,fake_torino,20000,0.0092057,0.006250000000000021,0.008949999999999994,0.013226249999999986
dj_8_fake_fez,dj,8,fake_fez,20000,0.008653,0.0058999999999999895,0.008599999999999997,0.012099999999999996
dj_8_fake_kyiv,dj,8,fake_kyiv,20000,0.012034699999999999,0.008700000000000036,0.011800000000000001,0.016276250000000016
dj_8_fake_marrakesh,dj,8,fake_marrakesh,20000,0.008020399999999999,0.005450000000000005,0.007800000000000035,0.011478749999999979
dj_8_fake_sherbrooke,dj,8,fake_sherbrooke,20000,0.012293999999999998,0.009023749999999997,0.012000000000000004,0.016550000000000006
dj_8_fake_torino,dj,8,fake_torino,20000,0.0116114,0.008047500000000016,0.011449999999999988,0.01585000000000002
dj_9_fake_fez,dj,9,fake_fez,20000,0.0105956,0.007623749999999995,0.01050000000000003,0.013976249999999987
dj_9_fake_kyiv,dj,9,fake_kyiv,20000,0.0157978,0.012297499999999982,0.015650000000000004,0.020459999999999975
dj_9_fake_marrakesh,dj,9,fake_marrakesh,20000,0.010076100000000001,0.007149999999999991,0.00994999999999999,0.013578749999999999
dj_9_fake_sherbrooke,dj,9,fake_sherbrooke,20000,0.015325,0.012047499999999996,0.01519999999999999,0.01962625000000001
dj_9_fake_torino,dj,9,fake_torino,20000,0.014747600000000003,0.011099999999999988,0.0146,0.018850000000000037
qaoa_10_fake_fez,qaoa,10,fake_fez,20000,0.07881350000000001,0.07342375,0.0789,0.08478374999999999
qaoa_10_fake_kyiv,qaoa,10,fake_kyiv,20000,0.09287169999999999,0.08710000000000001,0.0927,0.09893125
